,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Date
199,Pro,14311,30589,178277,70806,204457,216831,232823,247429,111361,170894,298880,108572,2021-04-15
200,Client,148411,125052,861098,222819,733609,835798,794637,989667,609149,221410,375955,266311,2021-04-16
201,DII,695,46246,26944,881415,267,23303,0,0,159,0,32836,0,2021-04-16
202,FII,88129,56974,610897,499361,234056,345986,141411,198084,49435,42146,69047,45328,2021-04-16
203,Pro,14911,23874,179099,74443,267439,283353,299323,300689,122321,169369,303226,121286,2021-04-16
204,Client,137840,114870,855784,224263,945788,953815,973010,1087033,642249,211649,391177,267849,2021-04-19
205,DII,631,40206,27468,885077,267,23703,0,0,159,0,33506,0,2021-04-19
206,FII,81877,54659,616015,500575,261884,384483,172413,237686,50813,43768,71918,44601,2021-04-19
207,Pro,14279,24892,183536,72888,331197,356653,393713,393935,116558,175881,313178,118848,2021-04-19
208,Client,143069,123689,859574,224324,1179520,976597,1111592,1135929,646791,217191,399547,269695,2021-04-20
209,DII,630,45913,27918,889554,267,23142,0,0,159,0,33256,0,2021-04-20
210,FII,78936,47704,616496,503918,247360,382533,184826,232804,52730,45976,74071,46914,2021-04-20
211,Pro,17071,22400,182710,68902,335935,329275,466664,342814,121369,175773,314175,122331,2021-04-20
212,Client,154429,122490,866025,236849,562082,695672,643755,814337,634840,233536,400927,272281,2021-04-22
213,DII,1630,46054,29258,889556,267,25041,0,0,159,0,33456,0,2021-04-22
214,FII,72806,37093,631389,507205,199836,309520,104667,173044,54421,46894,74353,47740,2021-04-22
215,Pro,14187,37415,181306,74368,211405,203930,225168,246782,126784,169819,307468,130228,2021-04-22
216,Client,149717,118258,857529,239591,732817,859255,821545,980444,620595,230663,396874,267665,2021-04-23
217,DII,1630,49201,30026,894424,267,25041,0,0,121,0,33456,0,2021-04-23
218,FII,75831,42585,644115,503136,241978,318276,134144,192118,53907,47613,73776,47256,2021-04-23
219,Pro,16239,33373,181449,75968,276064,287447,295437,317457,127631,165845,298148,129200,2021-04-23
220,Client,160079,126845,860789,242065,797167,1071528,897165,1155015,596163,237007,384713,264416,2021-04-26
221,DII,1630,51746,34172,898664,267,25661,0,0,121,0,33238,0,2021-04-26
222,FII,83368,38641,658281,507792,268399,348619,149539,225483,51477,47550,71172,46109,2021-04-26
223,Pro,15665,43510,179889,84610,305786,319378,324915,384688,131584,161653,290222,135685,2021-04-26
224,Client,168403,134453,871075,253417,785891,1273609,915329,1298315,554690,243771,368842,261986,2021-04-27
225,DII,1344,52399,38275,904233,267,23440,0,0,0,0,29568,0,2021-04-27
226,FII,87373,43121,676507,512741,291265,369808,152552,245249,48336,45947,67386,45978,2021-04-27
227,Pro,17197,44344,181474,96940,335209,329774,344751,453067,138129,161705,275359,143459,2021-04-27
228,Client,172005,158813,859837,257897,855888,1474993,924075,1415256,485299,225365,329563,247421,2021-04-28
229,DII,1354,46679,44702,904803,267,25200,0,0,0,0,29202,0,2021-04-28
230,FII,95886,48577,688986,507890,296509,407909,169102,288955,43491,43827,60648,44730,2021-04-28
